project_id,project_name
8708,1 Plantation Road I
8706,1 Plantation Road II
8707,1 Plantation Road III
11125,1 South Bay Close
8185,10 Wang Fung Terrace
10366,101 Kings Road
5705,11 Plantation Road
7005,128 Waterloo
9365,15 Gough Hill Road
6825,15 Shouson
6485,15 Western Street
8425,18 Cape Road
6925,2 Grampian Road
6185,21 Borrett Road I
11485,22 Square
10385,233 Prince Edward Road West
1925,23-39 Blue Pool Road
11285,26 Ko Shan
3785,29 Sassoon Road
6865,3 Clear Water Bay
5466,3 Fei Ngo Shan Road
1365,3 Plunketts Road
7625,3 Repulse Bay Road
10665,33 Kennedy Road
7045,37 Shouson Hill Road
7665,42 Tung St
7505,50 Island Road
11045,50 La Salle Road
967,50 Stanley Village Road
2205,65-89 Tan Kwai Tsuen Road
5106,72 Repulse Bay Road
9185,8 & 8A Pollocks Path
4685,8 Deep Water Bay Drive
7565,8 Kennedy Terrace
10625,8 Lung Ting Lane I
10626,8 Lung Ting Lane II
10627,8 Lung Ting Lane III
1385,80 Robinson Road
3266,8-12 Peak Road
11166,8513 Tai Po Road Sha Tin Heights
11167,8515 Tai Po Road Sha Tin Heights
11168,8517 Tai Po Road Sha Tin Heights
11165,9K Kennedy Road
4125,Altamira
5606,Altissimo
9946,Amber Place
7885,Ansaldo
6766,Aquila．Square Mile
7305,Arbour
8685,Aruna
11205,Austin Bohemian
5667,AVA 228
3866,AVA 55
4446,AVA 61
6325,Ayton
3826,Babington Hill
8546,Baker Circle．Dover
8846,Baker Circle．Euston
9426,Baker Circle．Greenwich
10367,Beacon Peak I
9806,Belgravia Place I
10565,Belgravia Place II
9827,Blue Coast I
9828,Blue Coast II
8905,Bondlane I
9846,Bondlane II
10865,Bonham Residence Hong Kong
6965,Broadview Villa
8105,Cadenza I
8346,Cadenza II
5965,Centra Horizon
6445,Central Peak I
7805,Central Peak II
9765,Central Residence By The Park
5205,Cetus．Square Mile
160,Chantilly
11265,Chester
10365,CHI 138
8906,Chill Residence
10345,Cloudview
9525,Coasto
11065,Connext
6245,Crescent Green
5006,Cristallo
4267,Crown of St Barths
9785,Cullinan Harbour I
10405,Cullinan Harbour IIA
11516,Cullinan Harbour IIB
9366,Cullinan Sky I
11005,Cullinan Sky II
3945,Cullinan West I
4945,Cullinan West II
5886,Cullinan West III
10706,Deep Water Pavilia I
10707,Deep Water Pavilia II
11405,Deep Water South I
11406,Deep Water South II
10066,Delight Terrace
9945,Des Voeux W Residence
6866,Discovery Bay City
10286,Double Coast I
11185,Double Coast III
65,Double Cove I
4025,Eden Manor
10545,Eight Southpark
7245,Eight Star Street
7227,El Futuro
9225,Elize Park
9766,Eminence Terrace I
525,Eugene Terrace
11514,Fairview Court
9965,Finnie
4705,Fleur Pavilia
10845,Flora
3225,Fortuna Court
11465,Foto+
7145,Fraser Village
8885,Garden Crescent
9665,Gateway．Square Mile
11427,Grand Austin Bohemian
2665,Grand Garden
6365,Grand Homm
8505,Grand Jeté I
9145,Grand Jeté II
8365,Grand Mayfair I
8406,Grand Mayfair II
8725,Grand Mayfair III
10486,Grand Seasons
7405,Grand Victoria I
7406,Grand Victoria II
7407,Grand Victoria III
3585,Grand Yoho I
3985,Grand Yoho II
7385,Grande Monaco
11006,GRB
1945,H．Bonaire
9147,Ham Tin Lot 61
10485,Hava
8945,Henley Park
9266,High Park II
9285,High Peak
11007,Highwood I
11520,Highwood II
11025,House Muse
6465,IL PICCO
585,Imperial Kennedy
8745,In One IA
8746,In One IB
9065,In One IC
10065,Incredible Residences
8485,J Loft
9725,Jardini
10985,Kabitat．Tin Hau
7965,Kennedy 38
11366,Kennedy Bay
6985,Koko Hills
8748,Koko Mare
8025,Koko Reserve
8747,Koko Rosso
9066,KT Marina I
11426,KT Marina II
7645,L．Living 23
7825,La Aldea
1548,La Maison De La Salle
7787,La Marina
11386,La Mirabelle I
9345,La Montagne I
9346,La Montagne II
4145,L'Aquatique
3965,Larvotto
10425,Le Mont I
10426,Le Mont II
10906,Le Mont II
5245,Le Palais
5207,Le Pont
3625,Lime Gala
11505,Lime Spark
10805,Louisette
7425,LP10
7925,LYOS
7765,Madera Garden
8085,Manor Hill
5745,Manor Parc
4065,Marin Point
8666,Miami Quay I
9645,Miami Quay II
7165,Monaco
8205,Monaco Marine
8065,Monaco One
8145,Mont Verra
6045,Montara
7306,Montego Bay
9305,Mori
7866,Mount Arcadia
2526,Mount Nicholson I
2545,Mount Nicholson II
2546,Mount Nicholson III
2605,Mount Pavilia
9465,Mount Pokfulam
5586,Mount Regalia
5145,Mount Regency I
3505,NAPA
8605,Novo Land IA
8705,Novo Land IB
9146,Novo Land IIA
9085,Novo Land IIB
10765,Novo Land IIIA
10045,Novo Land IIIB
4906,Novum East
4965,Novum Point
6425,Ocean Camino I
6426,Ocean Camino II
6745,Oma by The Sea
6146,Oma Oma
8125,One Central Place
8667,One Innovale I
8786,One Innovale II
8825,One Innovale III
10605,One Park Place
3705,One Prestige
10205,One Princeton
9865,One Stanley
7185,One Victoria
11510,One Victoria Cove I
11512,One Victoria Cove III
4185,One Victory
